dataset,model,attack_type,epsilon,acc_mean,acc_std,f1_mean,f1_std,n_samples,n_features
Adult,LR,Random_LF,0.3,0.8078,0.00845,0.664799,0.02046,15000,14
Adult,RF,Random_LF,0.3,0.766267,0.010173,0.681758,0.012248,15000,14
Adult,GB,Random_LF,0.3,0.8388,0.005311,0.735063,0.005369,15000,14
Adult,LR,Targeted_LF,0.01,0.8226,0.005916,0.718858,0.011349,15000,14
Adult,RF,Targeted_LF,0.01,0.8454,0.006451,0.772705,0.010212,15000,14
Adult,GB,Targeted_LF,0.01,0.844867,0.004156,0.744504,0.006536,15000,14
Adult,LR,Targeted_LF,0.05,0.822733,0.005559,0.723599,0.011269,15000,14
Adult,RF,Targeted_LF,0.05,0.842267,0.005376,0.773565,0.008569,15000,14
Adult,GB,Targeted_LF,0.05,0.845533,0.00474,0.75038,0.007552,15000,14
Adult,LR,Targeted_LF,0.1,0.823,0.004619,0.733018,0.010435,15000,14
Adult,RF,Targeted_LF,0.1,0.836667,0.009587,0.772018,0.013421,15000,14
Adult,GB,Targeted_LF,0.1,0.8466,0.005527,0.759316,0.011755,15000,14
Adult,LR,Targeted_LF,0.15,0.8216,0.003454,0.741777,0.007692,15000,14
Adult,RF,Targeted_LF,0.15,0.83,0.004676,0.769444,0.007354,15000,14
Adult,GB,Targeted_LF,0.15,0.8466,0.003422,0.766887,0.00827,15000,14
Adult,LR,Targeted_LF,0.2,0.811933,0.003986,0.740753,0.006761,15000,14
Adult,RF,Targeted_LF,0.2,0.8152,0.005439,0.759849,0.007442,15000,14
Adult,GB,Targeted_LF,0.2,0.846,0.00373,0.775865,0.007343,15000,14
Adult,LR,Targeted_LF,0.25,0.797467,0.004893,0.739067,0.005371,15000,14
Adult,RF,Targeted_LF,0.25,0.793333,0.003419,0.743214,0.005903,15000,14
Adult,GB,Targeted_LF,0.25,0.836,0.005846,0.779375,0.006808,15000,14
Adult,LR,Targeted_LF,0.3,0.765133,0.00446,0.721878,0.003104,15000,14
