Датасет,Модель,Тип атаки,ε (доля),Профиль защиты,F1_base,F1_prot,F1_std,ASR_prot,removal_rate,time_ratio,I_score
Adult,LR,Random_LF,0.0100,lf,0.7232,0.7162,0.0040,,0.0100,54.8411,-10.1721
Adult,LR,Random_LF,0.0500,auto,0.7232,0.7138,0.0043,,0.0500,68.2076,-12.8467
Adult,LR,Random_LF,0.0500,lf,0.7232,0.7138,0.0043,,0.0500,45.0723,-8.2197
Adult,LR,Random_LF,0.1000,auto,0.7232,0.7108,0.0045,,0.1000,94.7057,-18.1480
Adult,LR,Random_LF,0.1000,lf,0.7232,0.7108,0.0045,,0.1000,71.0531,-13.4175
Adult,LR,Random_LF,0.1500,auto,0.7232,0.7105,0.0060,,0.1500,41.0570,-7.4184
Adult,LR,Random_LF,0.1500,lf,0.7232,0.7105,0.0060,,0.1500,46.5829,-8.5236
Adult,LR,Random_LF,0.2000,auto,0.7232,0.7074,0.0068,,0.2000,51.6909,-9.5469
Adult,LR,Random_LF,0.2000,lf,0.7232,0.7074,0.0068,,0.2000,64.9047,-12.1897
Adult,LR,Random_LF,0.2500,auto,0.7232,0.7074,0.0083,,0.2500,123.2590,-23.8605
Adult,LR,Random_LF,0.2500,lf,0.7232,0.7074,0.0083,,0.2500,142.0206,-27.6129
Adult,LR,Random_LF,0.3000,auto,0.7232,0.7072,0.0074,,0.3000,63.9251,-11.9938
Adult,LR,Random_LF,0.3000,lf,0.7232,0.7072,0.0074,,0.3000,65.9453,-12.3979
Adult,LR,Targeted_LF,0.0100,auto,0.7232,0.7188,0.0039,,0.0100,71.6302,-13.5285
Adult,LR,Targeted_LF,0.0100,lf,0.7232,0.7188,0.0039,,0.0100,47.0427,-8.6110
Adult,LR,Targeted_LF,0.0500,auto,0.7232,0.7240,0.0045,,0.0500,47.2966,-8.6589
Adult,LR,Targeted_LF,0.0500,lf,0.7232,0.7240,0.0045,,0.0500,105.5053,-20.3006
Adult,LR,Targeted_LF,0.1000,auto,0.7232,0.7333,0.0077,,0.1000,111.1349,-21.4214
Adult,LR,Targeted_LF,0.1000,lf,0.7232,0.7333,0.0077,,0.1000,34.7518,-6.1448
