dataset,model,attack_type,epsilon,defense_profile,acc_mean,acc_std,f1_mean,f1_std,asr_mean,asr_std,removal_rate_mean,removal_rate_std,time_ratio_mean,I_score,n_samples,n_features
Adult,GB,Backdoor,0.1,backdoor,0.8584,0.004412,0.782598,0.008988,1.0,0.0,0.1,0.0,4.2081,-0.441492,20000,14
Adult,LR,Backdoor,0.15,auto,0.81575,0.007073,0.724704,0.009286,0.977128,0.017762,0.15,0.0,109.5228,-21.494587,20000,14
Adult,RF,Backdoor,0.15,auto,0.8538,0.003696,0.792213,0.005315,1.0,0.0,0.15,0.0,2.9818,-0.19657,20000,14
Adult,GB,Backdoor,0.15,auto,0.85835,0.003897,0.78741,0.006511,1.0,0.0,0.15,0.0,4.2713,-0.451665,20000,14
Adult,LR,Backdoor,0.15,backdoor,0.81575,0.007073,0.724704,0.009286,0.977128,0.017762,0.15,0.0,60.2444,-11.638906,20000,14
Adult,RF,Backdoor,0.15,backdoor,0.8538,0.003696,0.792213,0.005315,1.0,0.0,0.15,0.0,2.729,-0.146002,20000,14
Adult,GB,Backdoor,0.15,backdoor,0.85835,0.003897,0.78741,0.006511,1.0,0.0,0.15,0.0,2.7059,-0.138586,20000,14
Adult,LR,Backdoor,0.2,auto,0.8143,0.008533,0.727277,0.010858,0.990273,0.008531,0.2,0.0,55.9548,-10.784806,20000,14
Adult,RF,Backdoor,0.2,auto,0.85095,0.003979,0.790837,0.005914,1.0,0.0,0.2,0.0,2.3761,-0.076109,20000,14
Adult,GB,Backdoor,0.2,auto,0.8585,0.004588,0.791769,0.007301,1.0,0.0,0.2,0.0,3.7297,-0.341129,20000,14
Adult,LR,Backdoor,0.2,backdoor,0.8143,0.008533,0.727277,0.010858,0.990273,0.008531,0.2,0.0,100.3118,-19.656207,20000,14
Adult,RF,Backdoor,0.2,backdoor,0.85095,0.003979,0.790837,0.005914,1.0,0.0,0.2,0.0,2.5663,-0.114167,20000,14
Adult,GB,Backdoor,0.2,backdoor,0.8585,0.004588,0.791769,0.007301,1.0,0.0,0.2,0.0,2.7875,-0.152689,20000,14
Adult,LR,Backdoor,0.25,auto,0.81265,0.007431,0.730639,0.010348,0.997042,0.002554,0.25,0.0,84.8963,-16.57396,20000,14
Adult,RF,Backdoor,0.25,auto,0.84885,0.005137,0.79065,0.006811,1.0,0.0,0.25,0.0,2.627,-0.1264,20000,14
Adult,GB,Backdoor,0.25,auto,0.85765,0.005115,0.794988,0.006643,1.0,0.0,0.25,0.0,3.9525,-0.384034,20000,14
Adult,LR,Backdoor,0.25,backdoor,0.81265,0.007431,0.730639,0.010348,0.997042,0.002554,0.25,0.0,42.9539,-8.185486,20000,14
Adult,RF,Backdoor,0.25,backdoor,0.84885,0.005137,0.79065,0.006811,1.0,0.0,0.25,0.0,1.8432,0.030363,20000,14
Adult,GB,Backdoor,0.25,backdoor,0.85765,0.005115,0.794988,0.006643,1.0,0.0,0.25,0.0,2.6217,-0.117872,20000,14
Adult,LR,Backdoor,0.3,auto,0.81,0.007508,0.732206,0.01062,0.997765,0.002657,0.3,0.0,35.3279,-6.659708,20000,14
Adult,RF,Backdoor,0.3,auto,0.84435,0.005428,0.787048,0.008414,1.0,0.0,0.3,0.0,2.4365,-0.090109,20000,14
Adult,GB,Backdoor,0.3,auto,0.855,0.006205,0.795668,0.008831,1.0,0.0,0.3,0.0,3.9141,-0.376013,20000,14
Adult,LR,Backdoor,0.3,backdoor,0.81,0.007508,0.732206,0.01062,0.997765,0.002657,0.3,0.0,82.8773,-16.16958,20000,14
Adult,RF,Backdoor,0.3,backdoor,0.84435,0.005428,0.787048,0.008414,1.0,0.0,0.3,0.0,2.6974,-0.142285,20000,14
Adult,GB,Backdoor,0.3,backdoor,0.855,0.006205,0.795668,0.008831,1.0,0.0,0.3,0.0,3.4076,-0.274716,20000,14
SMS_Spam,LR,Backdoor,0.01,auto,0.970942,0.006019,0.937711,0.012404,0.256522,0.074077,0.010096,0.0,0.4269,0.605314,5572,500
SMS_Spam,RF,Backdoor,0.01,auto,0.97991,0.005217,0.953874,0.012804,0.997516,0.002414,0.010096,0.0,0.4615,0.309206,5572,500
