dataset,model,attack_type,epsilon,defense_profile,acc_mean,acc_std,f1_mean,f1_std,removal_rate_mean,removal_rate_std,time_ratio_mean,I_score,n_samples,n_features
SMS_Spam,GB,Targeted_LF,0.05,lf,0.96287,0.003702,0.913742,0.01,0.050079,9e-05,0.3094,0.739191,5572,500
SMS_Spam,LR,Targeted_LF,0.1,auto,0.942242,0.008762,0.885103,0.01466,0.100067,0.0,0.9809,0.575047,5572,500
SMS_Spam,RF,Targeted_LF,0.1,auto,0.969507,0.004912,0.933849,0.010561,0.100067,0.0,0.0612,0.779852,5572,500
SMS_Spam,GB,Targeted_LF,0.1,auto,0.96287,0.003524,0.915018,0.00843,0.100067,0.0,0.2331,0.755004,5572,500
SMS_Spam,LR,Targeted_LF,0.1,lf,0.942242,0.008762,0.885103,0.01466,0.100067,0.0,1.2348,0.524277,5572,500
SMS_Spam,RF,Targeted_LF,0.1,lf,0.969507,0.004912,0.933849,0.010561,0.100067,0.0,0.0722,0.777659,5572,500
SMS_Spam,GB,Targeted_LF,0.1,lf,0.96287,0.003524,0.915018,0.00843,0.100067,0.0,0.2197,0.757699,5572,500
SMS_Spam,LR,Targeted_LF,0.15,auto,0.930762,0.008922,0.866121,0.013466,0.150191,0.00011,0.8294,0.597402,5572,500
SMS_Spam,RF,Targeted_LF,0.15,auto,0.962332,0.004879,0.920473,0.010501,0.150191,0.00011,0.0116,0.784171,5572,500
SMS_Spam,GB,Targeted_LF,0.15,auto,0.961256,0.004106,0.912042,0.010299,0.150191,0.00011,0.1851,0.763304,5572,500
SMS_Spam,LR,Targeted_LF,0.15,lf,0.930762,0.008922,0.866121,0.013466,0.150191,0.00011,1.263,0.510675,5572,500
SMS_Spam,RF,Targeted_LF,0.15,lf,0.962332,0.004879,0.920473,0.010501,0.150191,0.00011,0.0198,0.782522,5572,500
SMS_Spam,GB,Targeted_LF,0.15,lf,0.961256,0.004106,0.912042,0.010299,0.150191,0.00011,0.1586,0.768613,5572,500
SMS_Spam,LR,Targeted_LF,0.2,auto,0.902601,0.007665,0.825044,0.010727,0.200135,0.0,0.8083,0.584385,5572,500
SMS_Spam,RF,Targeted_LF,0.2,auto,0.949776,0.007961,0.898125,0.013257,0.200135,0.0,-0.0128,0.779659,5572,500
SMS_Spam,GB,Targeted_LF,0.2,auto,0.95713,0.004657,0.903705,0.010606,0.200135,0.0,0.1271,0.771242,5572,500
SMS_Spam,LR,Targeted_LF,0.2,lf,0.902601,0.007665,0.825044,0.010727,0.200135,0.0,1.0764,0.530773,5572,500
SMS_Spam,RF,Targeted_LF,0.2,lf,0.949776,0.007961,0.898125,0.013257,0.200135,0.0,-0.0454,0.786185,5572,500
SMS_Spam,GB,Targeted_LF,0.2,lf,0.95713,0.004657,0.903705,0.010606,0.200135,0.0,0.1362,0.769431,5572,500
SMS_Spam,LR,Targeted_LF,0.25,auto,0.856143,0.012742,0.766254,0.013908,0.250168,0.0,0.9655,0.528282,5572,500
SMS_Spam,RF,Targeted_LF,0.25,auto,0.933812,0.011699,0.87303,0.016916,0.250168,0.0,-0.0559,0.777751,5572,500
SMS_Spam,GB,Targeted_LF,0.25,auto,0.955157,0.007308,0.901713,0.013492,0.250168,0.0,0.0626,0.783277,5572,500
SMS_Spam,LR,Targeted_LF,0.25,lf,0.856143,0.012742,0.766254,0.013908,0.250168,0.0,0.7106,0.579257,5572,500
SMS_Spam,RF,Targeted_LF,0.25,lf,0.933812,0.011699,0.87303,0.016916,0.250168,0.0,-0.0554,0.777646,5572,500
SMS_Spam,GB,Targeted_LF,0.25,lf,0.955157,0.007308,0.901713,0.013492,0.250168,0.0,0.0773,0.780329,5572,500
SMS_Spam,LR,Targeted_LF,0.3,auto,0.808789,0.01423,0.716896,0.012535,0.299978,0.0,1.0682,0.487035,5572,500
SMS_Spam,RF,Targeted_LF,0.3,auto,0.904933,0.015513,0.83202,0.01969,0.299978,0.0,-0.1222,0.773788,5572,500
SMS_Spam,GB,Targeted_LF,0.3,auto,0.947623,0.011906,0.891291,0.01831,0.299978,0.0,0.0164,0.787943,5572,500
SMS_Spam,LR,Targeted_LF,0.3,lf,0.808789,0.01423,0.716896,0.012535,0.299978,0.0,0.9329,0.514106,5572,500
SMS_Spam,RF,Targeted_LF,0.3,lf,0.904933,0.015513,0.83202,0.01969,0.299978,0.0,-0.0717,0.763694,5572,500
SMS_Spam,GB,Targeted_LF,0.3,lf,0.947623,0.011906,0.891291,0.01831,0.299978,0.0,-0.0046,0.792142,5572,500
MNIST,LR,Random_LF,0.01,auto,0.8705,0.006666,0.870399,0.00668,0.01,0.0,0.5159,0.694869,8000,784
MNIST,RF,Random_LF,0.01,auto,0.958125,0.002437,0.95812,0.002436,0.01,0.0,0.6228,0.67524,8000,784
MNIST,GB,Random_LF,0.01,auto,0.92325,0.001335,0.92324,0.001331,0.01,0.0,0.1707,0.766341,8000,784
MNIST,LR,Random_LF,0.01,lf,0.8705,0.006666,0.870399,0.00668,0.01,0.0,0.6108,0.675898,8000,784
MNIST,RF,Random_LF,0.01,lf,0.958125,0.002437,0.95812,0.002436,0.01,0.0,0.7206,0.655672,8000,784
MNIST,GB,Random_LF,0.01,lf,0.92325,0.001335,0.92324,0.001331,0.01,0.0,0.1392,0.772655,8000,784
MNIST,LR,Random_LF,0.05,auto,0.8575,0.006824,0.857369,0.006783,0.05,0.0,0.5171,0.688664,8000,784
MNIST,RF,Random_LF,0.05,auto,0.95925,0.00341,0.959245,0.003411,0.05,0.0,0.5868,0.682891,8000,784
MNIST,GB,Random_LF,0.05,auto,0.926,0.003614,0.925979,0.003616,0.05,0.0,0.0966,0.782358,8000,784
MNIST,LR,Random_LF,0.05,lf,0.8575,0.006824,0.857369,0.006783,0.05,0.0,0.4962,0.692854,8000,784
MNIST,RF,Random_LF,0.05,lf,0.95925,0.00341,0.959245,0.003411,0.05,0.0,0.5886,0.682544,8000,784
MNIST,GB,Random_LF,0.05,lf,0.926,0.003614,0.925979,0.003616,0.05,0.0,0.0804,0.785602,8000,784
MNIST,LR,Random_LF,0.1,auto,0.83875,0.008225,0.838637,0.008259,0.1,0.0,0.4523,0.693056,8000,784
MNIST,RF,Random_LF,0.1,auto,0.95375,0.002129,0.953748,0.002128,0.1,0.0,0.4724,0.703488,8000,784
MNIST,GB,Random_LF,0.1,auto,0.920875,0.005884,0.920849,0.005894,0.1,0.0,0.0146,0.796537,8000,784
MNIST,LR,Random_LF,0.1,lf,0.83875,0.008225,0.838637,0.008259,0.1,0.0,0.481,0.687325,8000,784
MNIST,RF,Random_LF,0.1,lf,0.95375,0.002129,0.953748,0.002128,0.1,0.0,0.4777,0.702427,8000,784
MNIST,GB,Random_LF,0.1,lf,0.920875,0.005884,0.920849,0.005894,0.1,0.0,0.02,0.795454,8000,784
MNIST,LR,Random_LF,0.15,auto,0.820625,0.002932,0.820505,0.002894,0.15,0.0,0.508,0.67363,8000,784
MNIST,RF,Random_LF,0.15,auto,0.947625,0.003941,0.947622,0.00394,0.15,0.0,0.3692,0.721569,8000,784
MNIST,GB,Random_LF,0.15,auto,0.915,0.004524,0.914973,0.004522,0.15,0.0,-0.0593,0.808757,8000,784
MNIST,LR,Random_LF,0.15,lf,0.820625,0.002932,0.820505,0.002894,0.15,0.0,0.5272,0.669791,8000,784
MNIST,RF,Random_LF,0.15,lf,0.947625,0.003941,0.947622,0.00394,0.15,0.0,0.4663,0.702159,8000,784
MNIST,GB,Random_LF,0.15,lf,0.915,0.004524,0.914973,0.004522,0.15,0.0,-0.0304,0.802975,8000,784
MNIST,LR,Random_LF,0.2,auto,0.794875,0.010371,0.794602,0.010244,0.2,0.0,0.4066,0.682073,8000,784
MNIST,RF,Random_LF,0.2,auto,0.93625,0.004419,0.936241,0.004422,0.2,0.0,0.3451,0.721648,8000,784
MNIST,GB,Random_LF,0.2,auto,0.90375,0.004384,0.90368,0.004397,0.2,0.0,-0.0974,0.811482,8000,784
MNIST,LR,Random_LF,0.2,lf,0.794875,0.010371,0.794602,0.010244,0.2,0.0,0.4212,0.679142,8000,784
MNIST,RF,Random_LF,0.2,lf,0.93625,0.004419,0.936241,0.004422,0.2,0.0,0.3235,0.725954,8000,784
MNIST,GB,Random_LF,0.2,lf,0.90375,0.004384,0.90368,0.004397,0.2,0.0,-0.0942,0.810835,8000,784
MNIST,LR,Random_LF,0.25,auto,0.765875,0.009309,0.765373,0.009149,0.25,0.0,0.4578,0.658456,8000,784
MNIST,RF,Random_LF,0.25,auto,0.91125,0.009454,0.911237,0.00945,0.25,0.0,0.2715,0.725937,8000,784
MNIST,GB,Random_LF,0.25,auto,0.883375,0.009326,0.883255,0.009323,0.25,0.0,-0.1523,0.813597,8000,784
MNIST,LR,Random_LF,0.25,lf,0.765875,0.009309,0.765373,0.009149,0.25,0.0,0.5193,0.646156,8000,784
MNIST,RF,Random_LF,0.25,lf,0.91125,0.009454,0.911237,0.00945,0.25,0.0,0.2735,0.725526,8000,784
MNIST,GB,Random_LF,0.25,lf,0.883375,0.009326,0.883255,0.009323,0.25,0.0,-0.15,0.813146,8000,784
MNIST,LR,Random_LF,0.3,auto,0.735625,0.006312,0.734928,0.006629,0.3,0.0,0.4148,0.653138,8000,784
MNIST,RF,Random_LF,0.3,auto,0.870375,0.016558,0.870229,0.016729,0.3,0.0,0.2158,0.719957,8000,784
MNIST,GB,Random_LF,0.3,auto,0.858625,0.02134,0.858226,0.021859,0.3,0.0,-0.2066,0.813598,8000,784
MNIST,LR,Random_LF,0.3,lf,0.735625,0.006312,0.734928,0.006629,0.3,0.0,0.4558,0.644926,8000,784
MNIST,RF,Random_LF,0.3,lf,0.870375,0.016558,0.870229,0.016729,0.3,0.0,0.1029,0.742531,8000,784
MNIST,GB,Random_LF,0.3,lf,0.858625,0.02134,0.858226,0.021859,0.3,0.0,-0.2217,0.816626,8000,784
MNIST,LR,Targeted_LF,0.01,auto,0.87,0.005463,0.869898,0.00552,0.01,0.0,0.5386,0.690095,8000,784
MNIST,RF,Targeted_LF,0.01,auto,0.959,0.003504,0.958992,0.003505,0.01,0.0,0.704,0.659356,8000,784
MNIST,GB,Targeted_LF,0.01,auto,0.924375,0.003933,0.92436,0.003942,0.01,0.0,0.1626,0.768456,8000,784
MNIST,LR,Targeted_LF,0.01,lf,0.87,0.005463,0.869898,0.00552,0.01,0.0,0.4563,0.706551,8000,784
MNIST,RF,Targeted_LF,0.01,lf,0.959,0.003504,0.958992,0.003505,0.01,0.0,0.6721,0.665725,8000,784
MNIST,GB,Targeted_LF,0.01,lf,0.924375,0.003933,0.92436,0.003942,0.01,0.0,0.1319,0.774589,8000,784
MNIST,LR,Targeted_LF,0.05,auto,0.859875,0.002449,0.85952,0.00253,0.05,0.0,0.6587,0.661326,8000,784
MNIST,RF,Targeted_LF,0.05,auto,0.958125,0.001936,0.95811,0.001936,0.05,0.0,0.6156,0.676669,8000,784
MNIST,GB,Targeted_LF,0.05,auto,0.92225,0.003593,0.92219,0.003587,0.05,0.0,0.1095,0.778138,8000,784
MNIST,LR,Targeted_LF,0.05,lf,0.859875,0.002449,0.85952,0.00253,0.05,0.0,0.6194,0.669201,8000,784
MNIST,RF,Targeted_LF,0.05,lf,0.958125,0.001936,0.95811,0.001936,0.05,0.0,0.5503,0.68973,8000,784
MNIST,GB,Targeted_LF,0.05,lf,0.92225,0.003593,0.92219,0.003587,0.05,0.0,0.0829,0.78345,8000,784
MNIST,LR,Targeted_LF,0.1,auto,0.85,0.002984,0.849246,0.003062,0.1,0.0,0.4843,0.691512,8000,784
MNIST,RF,Targeted_LF,0.1,auto,0.957875,0.00264,0.957843,0.002642,0.1,0.0,0.5404,0.691591,8000,784
MNIST,GB,Targeted_LF,0.1,auto,0.918875,0.004,0.918713,0.004014,0.1,0.0,0.023,0.793923,8000,784
MNIST,LR,Targeted_LF,0.1,lf,0.85,0.002984,0.849246,0.003062,0.1,0.0,0.6477,0.65884,8000,784
MNIST,RF,Targeted_LF,0.1,lf,0.957875,0.00264,0.957843,0.002642,0.1,0.0,0.5284,0.69399,8000,784
MNIST,GB,Targeted_LF,0.1,lf,0.918875,0.004,0.918713,0.004014,0.1,0.0,0.0332,0.791881,8000,784
MNIST,LR,Targeted_LF,0.15,auto,0.833125,0.007267,0.831666,0.007459,0.15,0.0,0.5224,0.675854,8000,784
MNIST,RF,Targeted_LF,0.15,auto,0.946875,0.005274,0.946767,0.005319,0.15,0.0,0.4764,0.699764,8000,784
MNIST,GB,Targeted_LF,0.15,auto,0.908375,0.006478,0.907972,0.006575,0.15,0.0,-0.0368,0.801226,8000,784
MNIST,LR,Targeted_LF,0.15,lf,0.833125,0.007267,0.831666,0.007459,0.15,0.0,0.5108,0.678171,8000,784
MNIST,RF,Targeted_LF,0.15,lf,0.946875,0.005274,0.946767,0.005319,0.15,0.0,0.4878,0.697501,8000,784
MNIST,GB,Targeted_LF,0.15,lf,0.908375,0.006478,0.907972,0.006575,0.15,0.0,-0.0302,0.799908,8000,784
MNIST,LR,Targeted_LF,0.2,auto,0.809,0.009199,0.805894,0.009441,0.2,0.0,0.5656,0.655432,8000,784
MNIST,RF,Targeted_LF,0.2,auto,0.9305,0.005022,0.930204,0.005073,0.2,0.0,0.3337,0.721412,8000,784
MNIST,GB,Targeted_LF,0.2,auto,0.8915,0.006157,0.890624,0.006309,0.2,0.0,-0.1069,0.80772,8000,784
MNIST,LR,Targeted_LF,0.2,lf,0.809,0.009199,0.805894,0.009441,0.2,0.0,0.6071,0.647139,8000,784
MNIST,RF,Targeted_LF,0.2,lf,0.9305,0.005022,0.930204,0.005073,0.2,0.0,0.3752,0.713103,8000,784
MNIST,GB,Targeted_LF,0.2,lf,0.8915,0.006157,0.890624,0.006309,0.2,0.0,-0.0944,0.805218,8000,784
MNIST,LR,Targeted_LF,0.25,auto,0.791375,0.007098,0.786332,0.007318,0.25,0.0,0.4022,0.679159,8000,784
MNIST,RF,Targeted_LF,0.25,auto,0.902875,0.00599,0.901878,0.006187,0.25,0.0,0.3255,0.711229,8000,784
MNIST,GB,Targeted_LF,0.25,auto,0.8645,0.006039,0.86236,0.006326,0.25,0.0,-0.1719,0.808456,8000,784
MNIST,LR,Targeted_LF,0.25,lf,0.791375,0.007098,0.786332,0.007318,0.25,0.0,0.3976,0.680091,8000,784
MNIST,RF,Targeted_LF,0.25,lf,0.902875,0.00599,0.901878,0.006187,0.25,0.0,0.3585,0.70463,8000,784
MNIST,GB,Targeted_LF,0.25,lf,0.8645,0.006039,0.86236,0.006326,0.25,0.0,-0.1565,0.805381,8000,784
MNIST,LR,Targeted_LF,0.3,auto,0.768375,0.008164,0.760631,0.008654,0.3,0.0,0.4275,0.662355,8000,784
MNIST,RF,Targeted_LF,0.3,auto,0.859875,0.009877,0.856733,0.010465,0.3,0.0,0.2812,0.701255,8000,784
MNIST,GB,Targeted_LF,0.3,auto,0.834375,0.012216,0.829947,0.01329,0.3,0.0,-0.2112,0.802252,8000,784
MNIST,LR,Targeted_LF,0.3,lf,0.768375,0.008164,0.760631,0.008654,0.3,0.0,0.3325,0.681355,8000,784
MNIST,RF,Targeted_LF,0.3,lf,0.859875,0.009877,0.856733,0.010465,0.3,0.0,0.2766,0.702173,8000,784
MNIST,GB,Targeted_LF,0.3,lf,0.834375,0.012216,0.829947,0.01329,0.3,0.0,-0.2139,0.802799,8000,784
