dataset,model,attack_type,epsilon,defense_profile,acc_mean,acc_std,f1_mean,f1_std,removal_rate_mean,removal_rate_std,time_ratio_mean,I_score,n_samples,n_features
UNSW-NB15,GB,Targeted_LF,0.15,lf,0.99932,0.000755,0.999319,0.000756,0.15,0.0,0.4602,0.707697,25000,45
UNSW-NB15,LR,Targeted_LF,0.2,auto,0.98276,0.002045,0.982736,0.002047,0.2,0.0,0.6536,0.666801,25000,45
UNSW-NB15,RF,Targeted_LF,0.2,auto,0.9866,0.002964,0.986592,0.002963,0.2,0.0,0.3891,0.716813,25000,45
UNSW-NB15,GB,Targeted_LF,0.2,auto,0.99972,0.00056,0.99972,0.000561,0.2,0.0,0.3959,0.720714,25000,45
UNSW-NB15,LR,Targeted_LF,0.2,lf,0.98276,0.002045,0.982736,0.002047,0.2,0.0,0.9911,0.599295,25000,45
UNSW-NB15,RF,Targeted_LF,0.2,lf,0.9866,0.002964,0.986592,0.002963,0.2,0.0,0.4332,0.708003,25000,45
UNSW-NB15,GB,Targeted_LF,0.2,lf,0.99972,0.00056,0.99972,0.000561,0.2,0.0,0.3242,0.735053,25000,45
UNSW-NB15,LR,Targeted_LF,0.25,auto,0.9766,0.006194,0.976578,0.006192,0.25,0.0,0.9057,0.613896,25000,45
UNSW-NB15,RF,Targeted_LF,0.25,auto,0.97072,0.003246,0.970718,0.003245,0.25,0.0,0.3394,0.720412,25000,45
UNSW-NB15,GB,Targeted_LF,0.25,auto,0.9938,0.004416,0.993795,0.004418,0.25,0.0,0.3176,0.733989,25000,45
UNSW-NB15,LR,Targeted_LF,0.25,lf,0.9766,0.006194,0.976578,0.006192,0.25,0.0,0.5807,0.678901,25000,45
UNSW-NB15,RF,Targeted_LF,0.25,lf,0.97072,0.003246,0.970718,0.003245,0.25,0.0,0.3458,0.719117,25000,45
UNSW-NB15,GB,Targeted_LF,0.25,lf,0.9938,0.004416,0.993795,0.004418,0.25,0.0,0.3202,0.73348,25000,45
UNSW-NB15,LR,Targeted_LF,0.3,auto,0.96748,0.007834,0.967465,0.007828,0.3,0.0,0.64,0.663337,25000,45
UNSW-NB15,RF,Targeted_LF,0.3,auto,0.9466,0.01086,0.946575,0.010895,0.3,0.0,0.359,0.706829,25000,45
UNSW-NB15,GB,Targeted_LF,0.3,auto,0.99132,0.00539,0.991314,0.005392,0.3,0.0,0.2875,0.739027,25000,45
UNSW-NB15,LR,Targeted_LF,0.3,lf,0.96748,0.007834,0.967465,0.007828,0.3,0.0,1.0337,0.584602,25000,45
UNSW-NB15,RF,Targeted_LF,0.3,lf,0.9466,0.01086,0.946575,0.010895,0.3,0.0,0.2002,0.738599,25000,45
UNSW-NB15,GB,Targeted_LF,0.3,lf,0.99132,0.00539,0.991314,0.005392,0.3,0.0,0.2102,0.754478,25000,45
Adult,LR,Random_LF,0.01,auto,0.82255,0.002052,0.716212,0.004039,0.01,0.0,69.1464,-13.033152,20000,14
Adult,RF,Random_LF,0.01,auto,0.85525,0.004009,0.78824,0.006426,0.01,0.0,2.5001,0.297766,20000,14
Adult,GB,Random_LF,0.01,auto,0.8594,0.003929,0.781563,0.006325,0.01,0.0,4.5289,-0.106192,20000,14
Adult,LR,Random_LF,0.01,lf,0.82255,0.002052,0.716212,0.004039,0.01,0.0,54.8411,-10.172082,20000,14
Adult,RF,Random_LF,0.01,lf,0.85525,0.004009,0.78824,0.006426,0.01,0.0,2.5061,0.296577,20000,14
Adult,GB,Random_LF,0.01,lf,0.8594,0.003929,0.781563,0.006325,0.01,0.0,4.2471,-0.049821,20000,14
Adult,LR,Random_LF,0.05,auto,0.8234,0.002562,0.713817,0.004268,0.05,0.0,68.2076,-12.846702,20000,14
Adult,RF,Random_LF,0.05,auto,0.8508,0.005622,0.782954,0.006762,0.05,0.0,2.9175,0.21162,20000,14
Adult,GB,Random_LF,0.05,auto,0.85785,0.004465,0.779716,0.008956,0.05,0.0,3.7306,0.052541,20000,14
Adult,LR,Random_LF,0.05,lf,0.8234,0.002562,0.713817,0.004268,0.05,0.0,45.0723,-8.219651,20000,14
Adult,RF,Random_LF,0.05,lf,0.8508,0.005622,0.782954,0.006762,0.05,0.0,1.5729,0.480549,20000,14
Adult,GB,Random_LF,0.05,lf,0.85785,0.004465,0.779716,0.008956,0.05,0.0,4.1962,-0.040593,20000,14
Adult,LR,Random_LF,0.1,auto,0.8236,0.003212,0.710832,0.004488,0.1,0.0,94.7057,-18.147975,20000,14
Adult,RF,Random_LF,0.1,auto,0.84585,0.005342,0.776004,0.008,0.1,0.0,1.4293,0.505747,20000,14
Adult,GB,Random_LF,0.1,auto,0.8567,0.004337,0.777297,0.008921,0.1,0.0,3.6712,0.063166,20000,14
Adult,LR,Random_LF,0.1,lf,0.8236,0.003212,0.710832,0.004488,0.1,0.0,71.0531,-13.417454,20000,14
Adult,RF,Random_LF,0.1,lf,0.84585,0.005342,0.776004,0.008,0.1,0.0,2.5122,0.289177,20000,14
Adult,GB,Random_LF,0.1,lf,0.8567,0.004337,0.777297,0.008921,0.1,0.0,4.3109,-0.064767,20000,14
Adult,LR,Random_LF,0.15,auto,0.8237,0.004007,0.710524,0.006048,0.15,0.0,41.057,-7.418415,20000,14
Adult,RF,Random_LF,0.15,auto,0.8385,0.006563,0.769255,0.008842,0.15,0.0,2.1226,0.363687,20000,14
Adult,GB,Random_LF,0.15,auto,0.8559,0.004502,0.777188,0.007706,0.15,0.0,5.3299,-0.268628,20000,14
Adult,LR,Random_LF,0.15,lf,0.8237,0.004007,0.710524,0.006048,0.15,0.0,46.5829,-8.523595,20000,14
Adult,RF,Random_LF,0.15,lf,0.8385,0.006563,0.769255,0.008842,0.15,0.0,2.293,0.329616,20000,14
Adult,GB,Random_LF,0.15,lf,0.8559,0.004502,0.777188,0.007706,0.15,0.0,4.0891,-0.020467,20000,14
Adult,LR,Random_LF,0.2,auto,0.8229,0.002289,0.707438,0.006834,0.2,0.0,51.6909,-9.546899,20000,14
Adult,RF,Random_LF,0.2,auto,0.82055,0.008691,0.747388,0.010765,0.2,0.0,1.9016,0.39686,20000,14
Adult,GB,Random_LF,0.2,auto,0.8548,0.005259,0.773743,0.012152,0.2,0.0,4.0292,-0.010246,20000,14
Adult,LR,Random_LF,0.2,lf,0.8229,0.002289,0.707438,0.006834,0.2,0.0,64.9047,-12.189666,20000,14
Adult,RF,Random_LF,0.2,lf,0.82055,0.008691,0.747388,0.010765,0.2,0.0,1.8391,0.409352,20000,14
Adult,GB,Random_LF,0.2,lf,0.8548,0.005259,0.773743,0.012152,0.2,0.0,3.6897,0.057651,20000,14
Adult,LR,Random_LF,0.25,auto,0.8238,0.002342,0.7074,0.008333,0.25,0.0,123.259,-23.860534,20000,14
Adult,RF,Random_LF,0.25,auto,0.79915,0.004941,0.720492,0.005661,0.25,0.0,1.6625,0.431111,20000,14
Adult,GB,Random_LF,0.25,auto,0.8486,0.005504,0.762252,0.011911,0.25,0.0,4.1771,-0.045702,20000,14
Adult,LR,Random_LF,0.25,lf,0.8238,0.002342,0.7074,0.008333,0.25,0.0,142.0206,-27.61286,20000,14
Adult,RF,Random_LF,0.25,lf,0.79915,0.004941,0.720492,0.005661,0.25,0.0,1.7183,0.419938,20000,14
Adult,GB,Random_LF,0.25,lf,0.8486,0.005504,0.762252,0.011911,0.25,0.0,3.991,-0.008476,20000,14
Adult,LR,Random_LF,0.3,auto,0.82105,0.002671,0.70724,0.007441,0.3,0.0,63.9251,-11.99384,20000,14
Adult,RF,Random_LF,0.3,auto,0.7666,0.006741,0.689668,0.007624,0.3,0.0,1.5768,0.432693,20000,14
Adult,GB,Random_LF,0.3,auto,0.8432,0.005616,0.754668,0.011619,0.3,0.0,4.557,-0.12556,20000,14
Adult,LR,Random_LF,0.3,lf,0.82105,0.002671,0.70724,0.007441,0.3,0.0,65.9453,-12.397881,20000,14
Adult,RF,Random_LF,0.3,lf,0.7666,0.006741,0.689668,0.007624,0.3,0.0,1.3906,0.469935,20000,14
Adult,GB,Random_LF,0.3,lf,0.8432,0.005616,0.754668,0.011619,0.3,0.0,4.3679,-0.087724,20000,14
Adult,LR,Targeted_LF,0.01,auto,0.82295,0.002249,0.71878,0.003865,0.01,0.0,71.6302,-13.528488,20000,14
Adult,RF,Targeted_LF,0.01,auto,0.85595,0.002537,0.789871,0.003829,0.01,0.0,2.7144,0.255732,20000,14
Adult,GB,Targeted_LF,0.01,auto,0.86015,0.004149,0.783898,0.006785,0.01,0.0,4.2722,-0.053658,20000,14
Adult,LR,Targeted_LF,0.01,lf,0.82295,0.002249,0.71878,0.003865,0.01,0.0,47.0427,-8.610977,20000,14
Adult,RF,Targeted_LF,0.01,lf,0.85595,0.002537,0.789871,0.003829,0.01,0.0,2.8416,0.230304,20000,14
Adult,GB,Targeted_LF,0.01,lf,0.86015,0.004149,0.783898,0.006785,0.01,0.0,5.0441,-0.208038,20000,14
Adult,LR,Targeted_LF,0.05,auto,0.8226,0.002813,0.724007,0.004479,0.05,0.0,47.2966,-8.658872,20000,14
Adult,RF,Targeted_LF,0.05,auto,0.8515,0.005876,0.788324,0.008358,0.05,0.0,2.8766,0.222512,20000,14
Adult,GB,Targeted_LF,0.05,auto,0.86005,0.004118,0.787003,0.007638,0.05,0.0,3.8606,0.030265,20000,14
Adult,LR,Targeted_LF,0.05,lf,0.8226,0.002813,0.724007,0.004479,0.05,0.0,105.5053,-20.30062,20000,14
Adult,RF,Targeted_LF,0.05,lf,0.8515,0.005876,0.788324,0.008358,0.05,0.0,2.5298,0.29187,20000,14
Adult,GB,Targeted_LF,0.05,lf,0.86005,0.004118,0.787003,0.007638,0.05,0.0,4.8994,-0.177502,20000,14
Adult,LR,Targeted_LF,0.1,auto,0.822,0.004062,0.733345,0.007676,0.1,0.0,111.1349,-21.42138,20000,14
Adult,RF,Targeted_LF,0.1,auto,0.8446,0.004729,0.7846,0.005831,0.1,0.0,1.9485,0.406261,20000,14
Adult,GB,Targeted_LF,0.1,auto,0.8596,0.003133,0.791395,0.005668,0.1,0.0,4.4967,-0.094725,20000,14
